CTY_NAME,CTY_TXT,State,Region,Division,POINT_X,POINT_Y
Hawaii,G15001,Hawaii,West Region,Pacific Division,-155.51826000600,19.59826464770
Columbia,G05027,Arkansas,South Region,West South Central Division,-93.22727486670,33.21428182140
Bowman,G38011,North Dakota,Midwest Region,West North Central Division,-103.52071147100,46.11256840960
Essex,G36031,New York,Northeast Region,Middle Atlantic Division,-73.77270491810,44.11719102050
Colfax,G35007,New Mexico,West Region,Mountain Division,-104.64681045700,36.60606642590
Sanders,G30089,Montana,West Region,Mountain Division,-115.13338182100,47.67481482970
Gallatin,G30031,Montana,West Region,Mountain Division,-111.17036740200,45.54075977060
Quay,G35037,New Mexico,West Region,Mountain Division,-103.54970142800,35.10433719290
Grant,G38037,North Dakota,Midwest Region,West North Central Division,-101.63967829900,46.35866760570
Ulster,G36111,New York,Northeast Region,Middle Atlantic Division,-74.25858237450,41.88799412630
Rolette,G38079,North Dakota,Midwest Region,West North Central Division,-99.84096221380,48.77240517510
Deuel,G46039,South Dakota,Midwest Region,West North Central Division,-96.66800829250,44.76007362530
Clatsop,G41007,Oregon,West Region,Pacific Division,-123.65712414100,45.98666277880
Douglas,G46043,South Dakota,Midwest Region,West North Central Division,-98.36605163080,43.38693629420
Kane,G49025,Utah,West Region,Mountain Division,-111.88782744600,37.28500835620
Spink,G46115,South Dakota,Midwest Region,West North Central Division,-98.34618385310,44.93798356540
Franklin,G53021,Washington,West Region,Pacific Division,-118.89914125500,46.53478056590
Daggett,G49009,Utah,West Region,Mountain Division,-109.50773554800,40.88713273820
Ziebach,G46137,South Dakota,Midwest Region,West North Central Division,-101.66580687800,44.98030522620
Snohomish,G53061,Washington,West Region,Pacific Division,-121.69594663700,48.04722450480
Pend Oreille,G53051,Washington,West Region,Pacific Division,-117.27395718600,48.53220115820
Madison,G05087,Arkansas,South Region,West South Central Division,-93.72450710550,36.01104820450
Latah,G16057,Idaho,West Region,Mountain Division,-116.71158565200,46.81601179040
Stevens,G53065,Washington,West Region,Pacific Division,-117.85511102700,48.39928641280
Stanley,G46117,South Dakota,Midwest Region,West North Central Division,-100.73588486400,44.41207764110
Kittitas,G53037,Washington,West Region,Pacific Division,-120.67960821900,47.12416901250
Washington,G16087,Idaho,West Region,Mountain Division,-116.78471779700,44.45240200860
Jackson,G46071,South Dakota,Midwest Region,West North Central Division,-101.62835636000,43.69415290670
Lake,G41037,Oregon,West Region,Pacific Division,-120.38751591800,42.79338337590
Dunn,G38025,North Dakota,Midwest Region,West North Central Division,-102.61831768200,47.35670852540
Perkins,G46105,South Dakota,Midwest Region,West North Central Division,-102.47561346200,45.49047640260
Pike,G05109,Arkansas,South Region,West South Central Division,-93.65637611070,34.16341607600
Morton,G38059,North Dakota,Midwest Region,West North Central Division,-101.28106257700,46.71607469900
Union,G35059,New Mexico,West Region,Mountain Division,-103.47100766000,36.48172940810
Otero,G35035,New Mexico,West Region,Mountain Division,-105.74167659800,32.61311471630
Sullivan,G36105,New York,Northeast Region,Middle Atlantic Division,-74.76819884460,41.71653490750
Sheridan,G38083,North Dakota,Midwest Region,West North Central Division,-100.34559947200,47.57540984560
Madison,G30057,Montana,West Region,Mountain Division,-111.92031885000,45.30072790080
Calhoun,G05013,Arkansas,South Region,West South Central Division,-92.50295218260,33.55811540060
Lincoln,G05079,Arkansas,South Region,West South Central Division,-91.73336951620,33.95732752280
Nez Perce,G16069,Idaho,West Region,Mountain Division,-116.74999406300,46.32686064360
Richland,G30083,Montana,West Region,Mountain Division,-104.56155777900,47.78802730340
Fremont,G16043,Idaho,West Region,Mountain Division,-111.48193746200,44.22885325870
Minidoka,G16067,Idaho,West Region,Mountain Division,-113.63756384800,42.85431425520
Essex,G34013,New Jersey,Northeast Region,Middle Atlantic Division,-74.24804957050,40.78787378930
Chemung,G36015,New York,Northeast Region,Middle Atlantic Division,-76.75988597790,42.14120574020
New York,G36061,New York,Northeast Region,Middle Atlantic Division,-73.96652011790,40.77938681550
McIntosh,G40091,Oklahoma,South Region,West South Central Division,-95.66690778830,35.37370752460
Douglas,G41019,Oregon,West Region,Pacific Division,-123.16481536000,43.27909998890
Ottawa,G40115,Oklahoma,South Region,West South Central Division,-94.81036209040,36.83548623510
Noble,G40103,Oklahoma,South Region,West South Central Division,-97.23047781280,36.38858758900
Union,G41061,Oregon,West Region,Pacific Division,-118.00903616400,45.31025765830
Pennington,G46103,South Dakota,Midwest Region,West North Central Division,-102.82401965900,44.00382111980
Davison,G46035,South Dakota,Midwest Region,West North Central Division,-98.14594690160,43.67465157420
Walworth,G46129,South Dakota,Midwest Region,West North Central Division,-100.03153112700,45.42991741290
Summit,G49043,Utah,West Region,Mountain Division,-110.95581240500,40.86818316060
Yakima,G53077,Washington,West Region,Pacific Division,-120.73859380400,46.45680017600
Ferry,G53019,Washington,West Region,Pacific Division,-118.51664303000,48.46984935010
Richmond,G36085,New York,Northeast Region,Middle Atlantic Division,-74.15248598770,40.58080903050
Newton,G05101,Arkansas,South Region,West South Central Division,-93.21797414090,35.91997157380
Cattaraugus,G36009,New York,Northeast Region,Middle Atlantic Division,-78.67884944350,42.24872064130
Hill,G30041,Montana,West Region,Mountain Division,-110.11132881400,48.62823942430
Lea,G35025,New Mexico,West Region,Mountain Division,-103.41245022700,32.79222168410
Burke,G38013,North Dakota,Midwest Region,West North Central Division,-102.51821293300,48.79097058210
Bristol,G44001,Rhode Island,Northeast Region,New England Division,-71.28434452290,41.71730933430
Caddo,G40015,Oklahoma,South Region,West South Central Division,-98.37519893240,35.17427105850
Murray,G40099,Oklahoma,South Region,West South Central Division,-97.06789526150,34.48238629660
Cache,G49005,Utah,West Region,Mountain Division,-111.74339490500,41.72231454070
Bennett,G46007,South Dakota,Midwest Region,West North Central Division,-101.66389811200,43.19483416230
Lake,G46079,South Dakota,Midwest Region,West North Central Division,-97.12937483350,44.02204316730
Benton,G53005,Washington,West Region,Pacific Division,-119.51126987900,46.23973096350
Douglas,G53017,Washington,West Region,Pacific Division,-119.69171001300,47.73600198300
Spokane,G53063,Washington,West Region,Pacific Division,-117.40402557400,47.62058674200
Pembina,G38067,North Dakota,Midwest Region,West North Central Division,-97.55194965380,48.76738423220
Baxter,G05005,Arkansas,South Region,West South Central Division,-92.33694615930,36.28700819270
Sequoyah,G40135,Oklahoma,South Region,West South Central Division,-94.75512140240,35.49537621250
Jerome,G16053,Idaho,West Region,Mountain Division,-114.26410707100,42.68991818370
Roger Mills,G40129,Oklahoma,South Region,West South Central Division,-99.69570096020,35.68816879980
Harper,G40059,Oklahoma,South Region,West South Central Division,-99.66737807400,36.78872110760
Garfield,G30033,Montana,West Region,Mountain Division,-106.99274914500,47.27754999270
Logan,G40083,Oklahoma,South Region,West South Central Division,-97.44331986930,35.91930762830
Glacier,G30035,Montana,West Region,Mountain Division,-112.99458580400,48.70500234140
Coal,G40029,Oklahoma,South Region,West South Central Division,-96.29775976370,34.58821314360
Tulsa,G40143,Oklahoma,South Region,West South Central Division,-95.94148658420,36.12105737810
Hughes,G46065,South Dakota,Midwest Region,West North Central Division,-99.99619692650,44.38919126530
Harney,G41025,Oregon,West Region,Pacific Division,-118.96787323200,43.06391460140
Washington,G41067,Oregon,West Region,Pacific Division,-123.09858105900,45.56002255160
Roberts,G46109,South Dakota,Midwest Region,West North Central Division,-96.94614477470,45.62970897270
Turner,G46125,South Dakota,Midwest Region,West North Central Division,-97.14873036200,43.31092853250
Okanogan,G53047,Washington,West Region,Pacific Division,-119.74089973900,48.54882941280
Boise,G16015,Idaho,West Region,Mountain Division,-115.73002425600,43.98909905460
Pondera,G30073,Montana,West Region,Mountain Division,-112.22613091100,48.22815294660
Bear Lake,G16007,Idaho,West Region,Mountain Division,-111.32971921400,42.28495372190
Griggs,G38039,North Dakota,Midwest Region,West North Central Division,-98.23707356450,47.45723342230
Yell,G05149,Arkansas,South Region,West South Central Division,-93.41092391230,35.00261604480
Prairie,G30079,Montana,West Region,Mountain Division,-105.37790617600,46.86043233850
Monroe,G36055,New York,Northeast Region,Middle Atlantic Division,-77.69622800270,43.14649738690
Slope,G38087,North Dakota,Midwest Region,West North Central Division,-103.45982781600,46.44721327550
Nassau,G36059,New York,Northeast Region,Middle Atlantic Division,-73.59006537760,40.74711846300
Traill,G38097,North Dakota,Midwest Region,West North Central Division,-97.16143800870,47.45405032920
Grant,G40053,Oklahoma,South Region,West South Central Division,-97.78605804270,36.79606393290
Wagoner,G40145,Oklahoma,South Region,West South Central Division,-95.52126485310,35.96119422510
Benton,G41003,Oregon,West Region,Pacific Division,-123.42948969200,44.49181214550
Clackamas,G41005,Oregon,West Region,Pacific Division,-122.22085568700,45.18817284490
Clark,G46025,South Dakota,Midwest Region,West North Central Division,-97.72940432170,44.85822574210
Polk,G05113,Arkansas,South Region,West South Central Division,-94.22814842680,34.48571668160
Cleburne,G05023,Arkansas,South Region,West South Central Division,-92.02672424190,35.53794072940
Pope,G05115,Arkansas,South Region,West South Central Division,-93.03415532900,35.44760318410
Custer,G30017,Montana,West Region,Mountain Division,-105.57179922700,46.25267446640
Shoshone,G16079,Idaho,West Region,Mountain Division,-115.89119374000,47.35170707930
Mountrail,G38061,North Dakota,Midwest Region,West North Central Division,-102.35567727800,48.20133476620
Washington,G05143,Arkansas,South Region,West South Central Division,-94.21556500570,35.97903810130
Gregory,G46053,South Dakota,Midwest Region,West North Central Division,-99.18569834140,43.19234381190
Jerauld,G46073,South Dakota,Midwest Region,West North Central Division,-98.62964103080,44.06632803790
Payne,G40119,Oklahoma,South Region,West South Central Division,-96.97573582690,36.07730343440
Petroleum,G30069,Montana,West Region,Mountain Division,-108.25024745900,47.11757232690
Delaware,G40041,Oklahoma,South Region,West South Central Division,-94.80261776260,36.40816760750
Corson,G46031,South Dakota,Midwest Region,West North Central Division,-101.19684224900,45.70854054720
Le Flore,G40079,Oklahoma,South Region,West South Central Division,-94.70343243410,34.90013573950
Billings,G38007,North Dakota,Midwest Region,West North Central Division,-103.37640886500,47.02334178100
Herkimer,G36043,New York,Northeast Region,Middle Atlantic Division,-74.96264427670,43.41952232090
Cassia,G16031,Idaho,West Region,Mountain Division,-113.60034272800,42.28387863710
Caddo,G22017,Louisiana,South Region,West South Central Division,-93.88260886850,32.58022928130
Bienville,G22013,Louisiana,South Region,West South Central Division,-93.05581703980,32.34719940500
Franklin,G22041,Louisiana,South Region,West South Central Division,-91.67378482040,32.13315647530
Harding,G46063,South Dakota,Midwest Region,West North Central Division,-103.49572530600,45.58032864340
East Carroll,G22035,Louisiana,South Region,West South Central Division,-91.23500171330,32.73238389830
Sanborn,G46111,South Dakota,Midwest Region,West North Central Division,-98.09138097590,44.02334504930
Minnehaha,G46099,South Dakota,Midwest Region,West North Central Division,-96.79138999650,43.67416721660
Yankton,G46135,South Dakota,Midwest Region,West North Central Division,-97.39459546910,43.00897313360
Fairfield,G09001,Connecticut,Northeast Region,New England Division,-73.38891211230,41.27360854990
Benewah,G16009,Idaho,West Region,Mountain Division,-116.65887967700,47.21747188930
Hudson,G34017,New Jersey,Northeast Region,Middle Atlantic Division,-74.07744709800,40.74045860510
Beauregard,G22011,Louisiana,South Region,West South Central Division,-93.34322226140,30.64831381660
Nowata,G40105,Oklahoma,South Region,West South Central Division,-95.61746685270,36.79842724610
Oklahoma,G40109,Oklahoma,South Region,West South Central Division,-97.40717424770,35.55149716800
Taos,G35055,New Mexico,West Region,Mountain Division,-105.63090674000,36.57822513860
Beckham,G40009,Oklahoma,South Region,West South Central Division,-99.68202052480,35.26878588820
Onondaga,G36067,New York,Northeast Region,Middle Atlantic Division,-76.19498827990,43.00571087300
Lyman,G46085,South Dakota,Midwest Region,West North Central Division,-99.84735401380,43.89596527440
Poinsett,G05111,Arkansas,South Region,West South Central Division,-90.66295849950,35.57399210620
Ascension,G22005,Louisiana,South Region,West South Central Division,-90.91146207010,30.20354530270
Arkansas,G05001,Arkansas,South Region,West South Central Division,-91.37500942740,34.29094839380
Chicot,G05017,Arkansas,South Region,West South Central Division,-91.29418867620,33.26740023910
Red River,G22081,Louisiana,South Region,West South Central Division,-93.33979499200,32.09322126250
Lafourche,G22057,Louisiana,South Region,West South Central Division,-90.44397286870,29.57829948360
Atlantic,G34001,New Jersey,Northeast Region,Middle Atlantic Division,-74.68305066730,39.48388699080
Silver Bow,G30093,Montana,West Region,Mountain Division,-112.65674226700,45.90231651500
Sabine,G22085,Louisiana,South Region,West South Central Division,-93.55479116960,31.56386556650
McCone,G30055,Montana,West Region,Mountain Division,-105.79529532100,47.64519948810
Pierce,G38069,North Dakota,Midwest Region,West North Central Division,-99.97176214610,48.24954541190
Washita,G40149,Oklahoma,South Region,West South Central Division,-98.99247711030,35.29051933530
Wayne,G49055,Utah,West Region,Mountain Division,-110.90383375800,38.32435422260
Salem,G34033,New Jersey,Northeast Region,Middle Atlantic Division,-75.34854688570,39.58752857840
Providence,G44007,Rhode Island,Northeast Region,New England Division,-71.58053668480,41.87223856940
Monmouth,G34025,New Jersey,Northeast Region,Middle Atlantic Division,-74.22551368830,40.25858244200
Grant,G35017,New Mexico,West Region,Mountain Division,-108.38231991000,32.73889451810
Eddy,G38027,North Dakota,Midwest Region,West North Central Division,-98.90175675920,47.71753905600
Miller,G05091,Arkansas,South Region,West South Central Division,-93.89176573170,33.31191662690
Cleveland,G05025,Arkansas,South Region,West South Central Division,-92.18516865160,33.89848962110
Hartford,G09003,Connecticut,Northeast Region,New England Division,-72.73290507000,41.80635481870
Phillips,G05107,Arkansas,South Region,West South Central Division,-90.84815584510,34.42838221410
Carroll,G05015,Arkansas,South Region,West South Central Division,-93.53842466410,36.34110450890
Harmon,G40057,Oklahoma,South Region,West South Central Division,-99.84627716390,34.74414796820
Clark,G53011,Washington,West Region,Pacific Division,-122.48248965700,45.77927121200
Cavalier,G38019,North Dakota,Midwest Region,West North Central Division,-98.46481054600,48.77225546780
Adams,G16003,Idaho,West Region,Mountain Division,-116.45363982400,44.88967426160
Lincoln,G22061,Louisiana,South Region,West South Central Division,-92.66476111150,32.60161795440
Sandoval,G35043,New Mexico,West Region,Mountain Division,-106.86586952900,35.68856069350
Columbia,G36021,New York,Northeast Region,Middle Atlantic Division,-73.63188565000,42.25008131370
Allen,G22003,Louisiana,South Region,West South Central Division,-92.82784191010,30.65289599370
Webster,G22119,Louisiana,South Region,West South Central Division,-93.33492846570,32.71325717270
Washington,G49053,Utah,West Region,Mountain Division,-113.50493249100,37.28031385250
East Feliciana,G22037,Louisiana,South Region,West South Central Division,-91.04508961120,30.84513086920
Lincoln,G41041,Oregon,West Region,Pacific Division,-123.86725714700,44.64174861520
Klamath,G41035,Oregon,West Region,Pacific Division,-121.65011936500,42.68626942240
Atoka,G40005,Oklahoma,South Region,West South Central Division,-96.03787040680,34.37367455230
Grant,G46051,South Dakota,Midwest Region,West North Central Division,-96.76768957040,45.17195873120
Tripp,G46123,South Dakota,Midwest Region,West North Central Division,-99.88408337120,43.34589261000
Stephens,G40137,Oklahoma,South Region,West South Central Division,-97.85149107830,34.48558369060
Love,G40085,Oklahoma,South Region,West South Central Division,-97.24419209500,33.94991282920
Dutchess,G36027,New York,Northeast Region,Middle Atlantic Division,-73.74308050120,41.76504996550
McIntosh,G38051,North Dakota,Midwest Region,West North Central Division,-99.44117017350,46.11172165530
Missoula,G30063,Montana,West Region,Mountain Division,-113.92357671300,47.03638829570
St. Charles,G22089,Louisiana,South Region,West South Central Division,-90.36233495080,29.88371373620
Gloucester,G34015,New Jersey,Northeast Region,Middle Atlantic Division,-75.13700840590,39.71376895100
Deer Lodge,G30023,Montana,West Region,Mountain Division,-113.06789101900,46.06077722490
LaSalle,G22059,Louisiana,South Region,West South Central Division,-92.16013979400,31.67677265010
Caldwell,G22021,Louisiana,South Region,West South Central Division,-92.11659297280,32.09223540050
Gooding,G16047,Idaho,West Region,Mountain Division,-114.81140418700,42.97096888930
Wallowa,G41063,Oregon,West Region,Pacific Division,-117.18107974500,45.57981769510
Sully,G46119,South Dakota,Midwest Region,West North Central Division,-100.13208322900,44.71557045700
Grant,G22043,Louisiana,South Region,West South Central Division,-92.55927136280,31.59949373650
Buffalo,G46017,South Dakota,Midwest Region,West North Central Division,-99.20489556700,44.07635832450
Kay,G40071,Oklahoma,South Region,West South Central Division,-97.14397122810,36.81794818360
Beaver,G49001,Utah,West Region,Mountain Division,-113.23576768900,38.35766238950
Plaquemines,G22075,Louisiana,South Region,West South Central Division,-89.64719070930,29.46608434910
Pushmataha,G40127,Oklahoma,South Region,West South Central Division,-95.37588407410,34.41615167180
Catahoula,G22025,Louisiana,South Region,West South Central Division,-91.84729460670,31.66584745980
Passaic,G34031,New Jersey,Northeast Region,Middle Atlantic Division,-74.30061873450,41.03422924540
Randolph,G05121,Arkansas,South Region,West South Central Division,-91.02782558020,36.34143813870
Fulton,G05049,Arkansas,South Region,West South Central Division,-91.81811697130,36.38165312920
Dewey,G40043,Oklahoma,South Region,West South Central Division,-99.00794486530,35.98768246680
Morehouse,G22067,Louisiana,South Region,West South Central Division,-91.80150063600,32.82020367350
Gem,G16045,Idaho,West Region,Mountain Division,-116.39711728100,44.06161740920
McHenry,G38049,North Dakota,Midwest Region,West North Central Division,-100.63625885800,48.23450923240
Bossier,G22015,Louisiana,South Region,West South Central Division,-93.60497136370,32.67872008580
Madison,G22065,Louisiana,South Region,West South Central Division,-91.24301375880,32.36442982520
St. Tammany,G22103,Louisiana,South Region,West South Central Division,-89.94075875720,30.44865519210
Lewis and Clark,G30049,Montana,West Region,Mountain Division,-112.39040872600,47.12249943630
Jackson,G22049,Louisiana,South Region,West South Central Division,-92.55765192030,32.30203965490
Tillamook,G41057,Oregon,West Region,Pacific Division,-123.70902057900,45.46272835770
Idaho,G16049,Idaho,West Region,Mountain Division,-115.46724187000,45.84418778440
Rosebud,G30087,Montana,West Region,Mountain Division,-106.73075091400,46.22969283760
Pawnee,G40117,Oklahoma,South Region,West South Central Division,-96.69945107960,36.31691969840
Liberty,G30051,Montana,West Region,Mountain Division,-111.02458527000,48.56163351360
Carbon,G49007,Utah,West Region,Mountain Division,-110.58914544300,39.64811666880
Vernon,G22115,Louisiana,South Region,West South Central Division,-93.18397504470,31.10834513240
Somerset,G34035,New Jersey,Northeast Region,Middle Atlantic Division,-74.61633777170,40.56330838460
Major,G40093,Oklahoma,South Region,West South Central Division,-98.53596766330,36.31165666670
Rio Arriba,G35039,New Mexico,West Region,Mountain Division,-106.69318988200,36.50958870830
Moody,G46101,South Dakota,Midwest Region,West North Central Division,-96.67090085100,44.02196345330
Little River,G05081,Arkansas,South Region,West South Central Division,-94.23467095540,33.70064654540
Lake,G30047,Montana,West Region,Mountain Division,-114.08918913000,47.64599566240
Barnes,G38003,North Dakota,Midwest Region,West North Central Division,-98.07162114280,46.93610632090
Sierra,G35051,New Mexico,West Region,Mountain Division,-107.19253802200,33.13044595120
Marshall,G46091,South Dakota,Midwest Region,West North Central Division,-97.59853423290,45.75864565020
Wibaux,G30109,Montana,West Region,Mountain Division,-104.24906843000,46.96510197200
West Carroll,G22123,Louisiana,South Region,West South Central Division,-91.45664324520,32.78832130210
St. Mary,G22101,Louisiana,South Region,West South Central Division,-91.45253782100,29.72329167860
Carter,G30011,Montana,West Region,Mountain Division,-104.53616298300,45.51674430860
Burlington,G34005,New Jersey,Northeast Region,Middle Atlantic Division,-74.66835622220,39.87816282600
Lincoln,G30053,Montana,West Region,Mountain Division,-115.40500380800,48.54258465090
Tensas,G22107,Louisiana,South Region,West South Central Division,-91.34015796460,32.00181194260
Powder River,G30075,Montana,West Region,Mountain Division,-105.63007930300,45.39501119150
Fallon,G30025,Montana,West Region,Mountain Division,-104.41741141500,46.33398407540
Twin Falls,G16083,Idaho,West Region,Mountain Division,-114.66723288000,42.35608082380
Boone,G05009,Arkansas,South Region,West South Central Division,-93.09158181450,36.30840010130
St. Francis,G05123,Arkansas,South Region,West South Central Division,-90.74788170880,35.02198596310
Lawrence,G05075,Arkansas,South Region,West South Central Division,-91.10713275000,36.04132003120
Grant,G05053,Arkansas,South Region,West South Central Division,-92.42365218730,34.28990947560
Lincoln,G40081,Oklahoma,South Region,West South Central Division,-96.88095356560,35.70300055270
St. John the Baptist,G22095,Louisiana,South Region,West South Central Division,-90.53868473040,30.09651012630
McCook,G46087,South Dakota,Midwest Region,West North Central Division,-97.36839725430,43.67430994260
Montgomery,G05097,Arkansas,South Region,West South Central Division,-93.65958288770,34.53878550820
Teton,G16081,Idaho,West Region,Mountain Division,-111.20763479400,43.75929208360
Winn,G22127,Louisiana,South Region,West South Central Division,-92.63679656940,31.94415679400
Orleans,G22071,Louisiana,South Region,West South Central Division,-89.91767099750,30.02740966880
Asotin,G53003,Washington,West Region,Pacific Division,-117.20301581000,46.19158007480
Beadle,G46005,South Dakota,Midwest Region,West North Central Division,-98.27806439340,44.41445174520
Kent,G44003,Rhode Island,Northeast Region,New England Division,-71.59428517720,41.67187070870
Latimer,G40077,Oklahoma,South Region,West South Central Division,-95.25036704630,34.87604938640
Schenectady,G36093,New York,Northeast Region,Middle Atlantic Division,-74.05869936490,42.81822915090
Juab,G49023,Utah,West Region,Mountain Division,-112.78463744300,39.70264996230
Lincoln,G35027,New Mexico,West Region,Mountain Division,-105.45923898900,33.74519254680
Saratoga,G36091,New York,Northeast Region,Middle Atlantic Division,-73.86386889340,43.10735792140
Greene,G36039,New York,Northeast Region,Middle Atlantic Division,-74.12275641580,42.27650113840
Ontario,G36069,New York,Northeast Region,Middle Atlantic Division,-77.29985928750,42.85284221840
Clay,G05021,Arkansas,South Region,West South Central Division,-90.41780981710,36.36851039630
Bradley,G05011,Arkansas,South Region,West South Central Division,-92.16257122180,33.46611823780
Iron,G49021,Utah,West Region,Mountain Division,-113.28931405000,37.85911591520
Morris,G34027,New Jersey,Northeast Region,Middle Atlantic Division,-74.54422088180,40.86221992440
Emmons,G38029,North Dakota,Midwest Region,West North Central Division,-100.23874081600,46.28495667550
Madison,G16065,Idaho,West Region,Mountain Division,-111.65966047100,43.78412373560
Clallam,G53009,Washington,West Region,Pacific Division,-123.93169638300,48.04898161150
Payette,G16075,Idaho,West Region,Mountain Division,-116.76081868100,44.00674611470
Guadalupe,G35019,New Mexico,West Region,Mountain Division,-104.79066835300,34.86330180890
Morgan,G49029,Utah,West Region,Mountain Division,-111.57281610800,41.08950915970
Delaware,G36025,New York,Northeast Region,Middle Atlantic Division,-74.96643786230,42.19789959160
Crook,G41013,Oregon,West Region,Pacific Division,-120.35655718000,44.14218674010
Jackson,G41029,Oregon,West Region,Pacific Division,-122.72854385300,42.43216627880
Ashley,G05003,Arkansas,South Region,West South Central Division,-91.76834872040,33.19123440170
Middlesex,G09007,Connecticut,Northeast Region,New England Division,-72.53612377100,41.46485801290
Clark,G05019,Arkansas,South Region,West South Central Division,-93.17690841270,34.05129354700
Kalawao,G15005,Hawaii,West Region,Pacific Division,-156.94750588900,21.17055700870
Litchfield,G09005,Connecticut,Northeast Region,New England Division,-73.24540684700,41.79241574550
Hyde,G46069,South Dakota,Midwest Region,West North Central Division,-99.48706592590,44.54729032110
Adams,G38001,North Dakota,Midwest Region,West North Central Division,-102.52861716000,46.09677370950
Grays Harbor,G53027,Washington,West Region,Pacific Division,-123.77260769700,47.15101183680
Choctaw,G40023,Oklahoma,South Region,West South Central Division,-95.55202476170,34.02658432670
Cass,G38017,North Dakota,Midwest Region,West North Central Division,-97.24787846150,46.93305046370
Marshall,G40095,Oklahoma,South Region,West South Central Division,-96.76930891120,34.02413316780
Nelson,G38063,North Dakota,Midwest Region,West North Central Division,-98.19210587630,47.92159606940
Cape May,G34009,New Jersey,Northeast Region,Middle Atlantic Division,-74.81016378870,39.15221620590
Big Horn,G30003,Montana,West Region,Mountain Division,-107.48977228200,45.42339156590
Beaverhead,G30001,Montana,West Region,Mountain Division,-112.89895093500,45.13277750290
Ada,G16001,Idaho,West Region,Mountain Division,-116.24105848600,43.45110950840
Bannock,G16005,Idaho,West Region,Mountain Division,-112.22438185700,42.66831425210
Assumption,G22007,Louisiana,South Region,West South Central Division,-91.06261261460,29.90077838200
Kauai,G15007,Hawaii,West Region,Pacific Division,-159.59393579000,22.04040797560
Acadia,G22001,Louisiana,South Region,West South Central Division,-92.41215031020,30.29046668380
Camden,G34007,New Jersey,Northeast Region,Middle Atlantic Division,-74.95970563590,39.80348449720
Catron,G35003,New Mexico,West Region,Mountain Division,-108.40469554300,33.91530808300
Aurora,G46003,South Dakota,Midwest Region,West North Central Division,-98.56156587010,43.71800982600
Chelan,G53007,Washington,West Region,Pacific Division,-120.61891264300,47.86924460260
Columbia,G41009,Oregon,West Region,Pacific Division,-123.08666655500,45.94194657760
Baker,G41001,Oregon,West Region,Pacific Division,-117.67527336300,44.70922494320
Conway,G05029,Arkansas,South Region,West South Central Division,-92.70090172170,35.26242460300
Alfalfa,G40003,Oklahoma,South Region,West South Central Division,-98.32398624980,36.73101858220
Box Elder,G49003,Utah,West Region,Mountain Division,-113.08201805900,41.52099113420
Bottineau,G38009,North Dakota,Midwest Region,West North Central Division,-100.83332840200,48.79211271330
Adams,G53001,Washington,West Region,Pacific Division,-118.56057181100,46.98341412120
Newport,G44005,Rhode Island,Northeast Region,New England Division,-71.23343320240,41.55652629110
Adair,G40001,Oklahoma,South Region,West South Central Division,-94.65868510610,35.88391419740
Bon Homme,G46009,South Dakota,Midwest Region,West North Central Division,-97.88467595500,42.98842255100
Chaves,G35005,New Mexico,West Region,Mountain Division,-104.46698709700,33.36314820360
Benson,G38005,North Dakota,Midwest Region,West North Central Division,-99.36617731730,48.06936606890
Allegany,G36003,New York,Northeast Region,Middle Atlantic Division,-78.02758936600,42.25740072910
Albany,G36001,New York,Northeast Region,Middle Atlantic Division,-73.97337013600,42.60021327370
Blaine,G30005,Montana,West Region,Mountain Division,-108.95871226100,48.43263685290
Avoyelles,G22009,Louisiana,South Region,West South Central Division,-92.00141947060,31.07625348980
Blaine,G16013,Idaho,West Region,Mountain Division,-113.98051305600,43.41242587680
Craighead,G05031,Arkansas,South Region,West South Central Division,-90.63285783200,35.83077504620
Calcasieu,G22019,Louisiana,South Region,West South Central Division,-93.35784826170,30.22931565080
Tolland,G09013,Connecticut,Northeast Region,New England Division,-72.33640251550,41.85494837350
Bronx,G36005,New York,Northeast Region,Middle Atlantic Division,-73.86828372790,40.85435385150
Broome,G36007,New York,Northeast Region,Middle Atlantic Division,-75.81924298750,42.15999706620
Broadwater,G30007,Montana,West Region,Mountain Division,-111.49566429300,46.33195010730
Curry,G35009,New Mexico,West Region,Mountain Division,-103.34685166600,34.57415178320
Hunterdon,G34019,New Jersey,Northeast Region,Middle Atlantic Division,-74.91214636440,40.56733959340
Butte,G46019,South Dakota,Midwest Region,West North Central Division,-103.50807554500,44.90576597310
Sussex,G34037,New Jersey,Northeast Region,Middle Atlantic Division,-74.69018160340,41.13960191870
Cascade,G30013,Montana,West Region,Mountain Division,-111.34711239600,47.30804526940
Beaver,G40007,Oklahoma,South Region,West South Central Division,-100.47677173500,36.74962662900
Coos,G41011,Oregon,West Region,Pacific Division,-124.05774281800,43.17197748760
Divide,G38023,North Dakota,Midwest Region,West North Central Division,-103.48733016600,48.81483468440
Claiborne,G22027,Louisiana,South Region,West South Central Division,-92.99575621850,32.82263107360
Columbia,G53013,Washington,West Region,Pacific Division,-117.90782064100,46.29759230110
Dickey,G38021,North Dakota,Midwest Region,West North Central Division,-98.50463351670,46.11010229460
Blaine,G40011,Oklahoma,South Region,West South Central Division,-98.43343113970,35.87526004300
Duchesne,G49013,Utah,West Region,Mountain Division,-110.42478793200,40.29745410880
Boundary,G16021,Idaho,West Region,Mountain Division,-116.46294351400,48.76697311700
Middlesex,G34023,New Jersey,Northeast Region,Middle Atlantic Division,-74.41263004030,40.43855699720
